"citizen_id","event_type","event_time"
"1156","Citizen Birth","3/15/2021 9:26:40 PM"
"1157","NIDA Issued","10/7/2024 12:26:40 AM"
"1158","License Issued","7/29/2023 6:26:40 AM"
"1159","Vehicle Purchase","4/12/2019 10:26:40 PM"
"1160","Insurance Activated","3/5/2026 4:26:40 AM"
"1161","Fine Issued","6/10/2023 8:26:40 PM"
"1162","Payment Attempted","10/5/2019 9:26:40 PM"
"1163","Accident Logged","1/6/2019 3:26:40 AM"
"1164","Investigation Opened","12/11/2018 5:26:40 AM"
"1165","Court Hearing","6/12/2022 10:26:40 AM"
"1166","Resolution Closed","2/22/2021 4:26:40 AM"
"1167","Citizen Birth","1/10/2019 12:26:40 AM"
"1168","NIDA Issued","3/1/2026 11:26:40 PM"
"1169","License Issued","8/28/2025 10:26:40 PM"
"1170","Vehicle Purchase","8/25/2022 12:26:40 PM"
"1171","Insurance Activated","5/1/2022 3:26:40 PM"
"1172","Fine Issued","5/1/2022 6:26:40 AM"
"1173","Payment Attempted","4/13/2022 11:26:40 AM"
"1174","Accident Logged","1/12/2024 1:26:40 AM"
"1175","Investigation Opened","12/18/2024 3:26:40 AM"
"1176","Court Hearing","9/5/2016 11:26:40 PM"
"1177","Resolution Closed","9/24/2019 6:26:40 AM"
"1178","Citizen Birth","5/17/2019 2:26:40 AM"
"1179","NIDA Issued","5/20/2017 1:26:40 AM"
"1180","License Issued","8/4/2022 2:26:40 PM"
"1181","Vehicle Purchase","8/19/2016 7:26:40 AM"
"1182","Insurance Activated","3/8/2017 4:26:40 PM"
"1183","Fine Issued","8/18/2023 12:26:40 AM"
"1184","Payment Attempted","4/2/2019 12:26:40 PM"
"1185","Accident Logged","4/1/2023 11:26:40 AM"
"1186","Investigation Opened","7/1/2026 2:26:40 AM"
"1187","Court Hearing","11/18/2025 4:26:40 AM"
"1188","Resolution Closed","1/23/2019 6:26:40 PM"
"1189","Citizen Birth","7/4/2025 7:26:40 PM"
"1190","NIDA Issued","12/26/2025 12:26:40 PM"
"1191","License Issued","7/22/2016 10:26:40 PM"
"1192","Vehicle Purchase","8/4/2016 4:26:40 AM"
"1193","Insurance Activated","11/13/2016 5:26:40 AM"
"1194","Fine Issued","6/21/2021 5:26:40 PM"
"1195","Payment Attempted","5/13/2020 2:26:40 PM"
"1196","Accident Logged","9/7/2021 1:26:40 PM"
"1197","Investigation Opened","1/4/2026 5:26:40 PM"
"1198","Court Hearing","10/14/2017 12:26:40 AM"
"1199","Resolution Closed","8/27/2018 3:26:40 PM"
"1200","Citizen Birth","5/13/2018 7:26:40 AM"
"1201","NIDA Issued","10/13/2024 11:26:40 PM"
"1202","License Issued","8/21/2016 2:26:40 AM"
"1203","Vehicle Purchase","4/1/2024 4:26:40 PM"
"1204","Insurance Activated","5/8/2023 8:26:40 PM"
"1205","Fine Issued","12/1/2022 5:26:40 AM"
"1206","Payment Attempted","1/16/2025 12:26:40 AM"
"1207","Accident Logged","2/25/2024 7:26:40 PM"
"1208","Investigation Opened","12/17/2018 7:26:40 PM"
"1209","Court Hearing","9/21/2025 2:26:40 PM"
"1210","Resolution Closed","5/30/2019 5:26:40 AM"
"1211","Citizen Birth","2/26/2018 6:26:40 AM"
"1212","NIDA Issued","4/12/2024 7:26:40 PM"
"1213","License Issued","6/9/2022 3:26:40 AM"
"1214","Vehicle Purchase","4/9/2024 10:26:40 PM"
"1215","Insurance Activated","8/8/2023 11:26:40 PM"
"1216","Fine Issued","7/28/2018 12:26:40 AM"
"1217","Payment Attempted","1/11/2019 9:26:40 AM"
"1218","Accident Logged","10/21/2019 6:26:40 PM"
"1219","Investigation Opened","1/13/2022 3:26:40 PM"
"1220","Court Hearing","1/23/2017 2:26:40 AM"
"1221","Resolution Closed","3/6/2018 9:26:40 AM"
"1222","Citizen Birth","9/29/2023 9:26:40 PM"
"1223","NIDA Issued","3/10/2020 5:26:40 AM"
"1224","License Issued","12/24/2020 8:26:40 PM"
"1225","Vehicle Purchase","10/19/2017 1:26:40 AM"
"1226","Insurance Activated","11/29/2023 8:26:40 AM"
"1227","Fine Issued","4/8/2026 4:26:40 PM"
"1228","Payment Attempted","2/15/2024 6:26:40 AM"
"1229","Accident Logged","9/17/2024 10:26:40 PM"
"1230","Investigation Opened","1/10/2018 8:26:40 AM"
"1231","Court Hearing","9/24/2021 11:26:40 AM"
"1232","Resolution Closed","5/9/2024 9:26:40 AM"
"1233","Citizen Birth","3/12/2023 2:26:40 PM"
"1234","NIDA Issued","7/31/2020 2:26:40 AM"
"1235","License Issued","10/26/2017 4:26:40 AM"
"1236","Vehicle Purchase","7/15/2025 12:26:40 AM"
"1237","Insurance Activated","6/6/2018 10:26:40 PM"
"1238","Fine Issued","7/17/2023 12:26:40 PM"
"1239","Payment Attempted","6/18/2018 3:26:40 PM"
"1240","Accident Logged","6/15/2017 2:26:40 AM"
"1241","Investigation Opened","12/31/2019 3:26:40 PM"
"1242","Court Hearing","12/13/2020 9:26:40 AM"
"1243","Resolution Closed","2/16/2025 2:26:40 PM"
"1244","Citizen Birth","3/6/2023 7:26:40 AM"
"1245","NIDA Issued","3/18/2019 6:26:40 PM"
"1246","License Issued","6/16/2022 8:26:40 AM"
"1247","Vehicle Purchase","9/21/2017 10:26:40 AM"
"1248","Insurance Activated","9/29/2018 10:26:40 AM"
"1249","Fine Issued","10/10/2018 1:26:40 AM"
"1250","Payment Attempted","1/7/2025 12:26:40 PM"
"1251","Accident Logged","2/12/2021 1:26:40 AM"
"1252","Investigation Opened","3/14/2020 4:26:40 PM"
"1253","Court Hearing","4/13/2024 11:26:40 AM"
"1254","Resolution Closed","5/9/2024 7:26:40 PM"
"1255","Citizen Birth","9/18/2022 11:26:40 PM"
"1256","NIDA Issued","9/26/2023 10:26:40 PM"
"1257","License Issued","3/1/2021 7:26:40 PM"
"1258","Vehicle Purchase","11/21/2022 2:26:40 PM"
"1259","Insurance Activated","4/9/2023 2:26:40 AM"
"1260","Fine Issued","5/11/2018 7:26:40 PM"
"1261","Payment Attempted","1/12/2022 8:26:40 PM"
"1262","Accident Logged","3/27/2021 2:26:40 AM"
"1263","Investigation Opened","12/14/2018 6:26:40 AM"
"1264","Court Hearing","11/15/2021 11:26:40 AM"
"1265","Resolution Closed","10/22/2019 12:26:40 AM"
"1266","Citizen Birth","11/12/2025 9:26:40 PM"
"1267","NIDA Issued","8/31/2020 7:26:40 AM"
"1268","License Issued","3/31/2019 12:26:40 AM"
"1269","Vehicle Purchase","9/3/2025 12:26:40 PM"
"1270","Insurance Activated","2/12/2019 3:26:40 AM"
"1271","Fine Issued","1/17/2021 2:26:40 PM"
"1272","Payment Attempted","9/3/2019 12:26:40 AM"
"1273","Accident Logged","6/25/2023 9:26:40 AM"
"1274","Investigation Opened","11/16/2021 1:26:40 AM"
"1275","Court Hearing","11/23/2020 8:26:40 AM"
"1276","Resolution Closed","4/20/2020 8:26:40 PM"
"1277","Citizen Birth","7/7/2021 6:26:40 PM"
"1278","NIDA Issued","7/23/2022 8:26:40 AM"
"1279","License Issued","12/5/2018 12:26:40 AM"
"1280","Vehicle Purchase","1/24/2017 5:26:40 AM"
"1281","Insurance Activated","1/21/2022 12:26:40 AM"
"1282","Fine Issued","7/18/2017 8:26:40 AM"
"1283","Payment Attempted","3/25/2023 1:26:40 PM"
"1284","Accident Logged","12/27/2017 9:26:40 PM"
"1285","Investigation Opened","1/16/2018 8:26:40 AM"
"1286","Court Hearing","10/18/2019 9:26:40 PM"
"1287","Resolution Closed","6/18/2021 6:26:40 PM"
"1288","Citizen Birth","5/12/2026 4:26:40 PM"
"1289","NIDA Issued","2/21/2018 4:26:40 AM"
"1290","License Issued","9/22/2016 1:26:40 PM"
"1291","Vehicle Purchase","3/30/2020 5:26:40 AM"
"1292","Insurance Activated","5/13/2023 5:26:40 PM"
"1293","Fine Issued","4/15/2019 8:26:40 PM"
"1294","Payment Attempted","9/10/2016 8:26:40 AM"
"1295","Accident Logged","12/2/2019 3:26:40 PM"
"1296","Investigation Opened","7/14/2020 3:26:40 PM"
"1297","Court Hearing","7/3/2017 6:26:40 PM"
"1298","Resolution Closed","10/8/2018 3:26:40 AM"
"1299","Citizen Birth","11/29/2017 5:26:40 PM"
"1300","NIDA Issued","6/29/2026 8:26:40 PM"
"1301","License Issued","6/8/2025 9:26:40 AM"
"1302","Vehicle Purchase","1/6/2022 7:26:40 PM"
"1303","Insurance Activated","2/4/2023 5:26:40 AM"
"1304","Fine Issued","5/6/2026 11:26:40 AM"
"1305","Payment Attempted","11/11/2020 3:26:40 PM"
"1306","Accident Logged","10/13/2024 7:26:40 PM"
"1307","Investigation Opened","11/20/2022 5:26:40 AM"
"1308","Court Hearing","7/18/2021 2:26:40 AM"
"1309","Resolution Closed","5/7/2026 3:26:40 AM"
"1310","Citizen Birth","6/17/2023 2:26:40 PM"
"1311","NIDA Issued","6/19/2018 12:26:40 PM"
"1312","License Issued","5/24/2018 5:26:40 AM"
"1313","Vehicle Purchase","7/7/2022 10:26:40 AM"
"1314","Insurance Activated","10/28/2020 11:26:40 AM"
"1315","Fine Issued","5/22/2018 1:26:40 PM"
"1316","Payment Attempted","4/18/2018 4:26:40 AM"
"1317","Accident Logged","8/16/2024 9:26:40 PM"
"1318","Investigation Opened","9/13/2019 5:26:40 PM"
"1319","Court Hearing","6/2/2019 2:26:40 PM"
"1320","Resolution Closed","6/7/2023 7:26:40 PM"
"1321","Citizen Birth","4/30/2021 7:26:40 AM"
"1322","NIDA Issued","3/9/2022 10:26:40 AM"
"1323","License Issued","2/23/2021 8:26:40 AM"
"1324","Vehicle Purchase","10/18/2022 3:26:40 PM"
"1325","Insurance Activated","5/25/2025 9:26:40 PM"
"1326","Fine Issued","8/6/2024 6:26:40 PM"
"1327","Payment Attempted","1/30/2023 3:26:40 AM"
"1328","Accident Logged","6/28/2019 2:26:40 AM"
"1329","Investigation Opened","10/17/2024 1:26:40 AM"
"1330","Court Hearing","12/10/2024 11:26:40 PM"
"1331","Resolution Closed","10/8/2020 5:26:40 AM"
"1332","Citizen Birth","8/4/2025 2:26:40 PM"
"1333","NIDA Issued","9/8/2017 9:26:40 AM"
"1334","License Issued","10/15/2022 11:26:40 AM"
"1335","Vehicle Purchase","11/2/2021 12:26:40 PM"
"1336","Insurance Activated","10/27/2020 2:26:40 AM"
"1337","Fine Issued","3/13/2017 3:26:40 PM"
"1338","Payment Attempted","11/4/2023 3:26:40 PM"
"1339","Accident Logged","5/12/2022 12:26:40 PM"
"1340","Investigation Opened","7/30/2020 12:26:40 AM"
"1341","Court Hearing","12/6/2020 1:26:40 PM"
"1342","Resolution Closed","9/27/2018 1:26:40 AM"
"1343","Citizen Birth","6/6/2020 4:26:40 AM"
"1344","NIDA Issued","2/19/2018 9:26:40 AM"
"1345","License Issued","11/27/2018 10:26:40 PM"
"1346","Vehicle Purchase","11/16/2021 11:26:40 PM"
"1347","Insurance Activated","7/28/2020 11:26:40 AM"
"1348","Fine Issued","7/18/2016 11:26:40 PM"
"1349","Payment Attempted","9/23/2016 4:26:40 PM"
"1350","Accident Logged","11/14/2025 7:26:40 PM"
"1351","Investigation Opened","12/11/2019 9:26:40 PM"
"1352","Court Hearing","9/29/2023 2:26:40 AM"
"1353","Resolution Closed","4/29/2017 10:26:40 AM"
"1354","Citizen Birth","9/15/2019 6:26:40 PM"
"1355","NIDA Issued","2/5/2017 9:26:40 AM"
"1356","License Issued","2/22/2018 1:26:40 AM"
"1357","Vehicle Purchase","5/3/2019 2:26:40 PM"
"1358","Insurance Activated","1/19/2018 2:26:40 PM"
"1359","Fine Issued","2/3/2023 2:26:40 PM"
"1360","Payment Attempted","1/6/2025 4:26:40 PM"
"1361","Accident Logged","1/19/2025 11:26:40 PM"
"1362","Investigation Opened","3/16/2025 7:26:40 AM"
"1363","Court Hearing","8/11/2022 4:26:40 AM"
"1364","Resolution Closed","11/15/2019 8:26:40 AM"
"1365","Citizen Birth","3/23/2019 12:26:40 PM"
"1366","NIDA Issued","1/12/2019 3:26:40 PM"
"1367","License Issued","7/29/2018 7:26:40 AM"
"1368","Vehicle Purchase","6/18/2019 7:26:40 AM"
"1369","Insurance Activated","2/12/2021 8:26:40 PM"
"1370","Fine Issued","7/13/2022 4:26:40 PM"
"1371","Payment Attempted","4/23/2021 3:26:40 AM"
"1372","Accident Logged","3/15/2026 2:26:40 PM"
"1373","Investigation Opened","9/2/2020 5:26:40 AM"
"1374","Court Hearing","10/15/2019 1:26:40 PM"
"1375","Resolution Closed","1/6/2026 3:26:40 AM"
"1376","Citizen Birth","1/8/2026 3:26:40 AM"
"1377","NIDA Issued","5/2/2021 11:26:40 PM"
"1378","License Issued","7/9/2022 2:26:40 AM"
"1379","Vehicle Purchase","2/5/2023 3:26:40 AM"
"1380","Insurance Activated","12/5/2017 3:26:40 PM"
"1381","Fine Issued","11/26/2023 5:26:40 PM"
"1382","Payment Attempted","9/17/2017 7:26:40 AM"
"1383","Accident Logged","4/25/2024 6:26:40 AM"
"1384","Investigation Opened","5/24/2021 4:26:40 PM"
"1385","Court Hearing","9/13/2025 2:26:40 PM"
"1386","Resolution Closed","5/27/2024 1:26:40 PM"
"1387","Citizen Birth","10/27/2022 9:26:40 PM"
"1388","NIDA Issued","12/24/2024 10:26:40 AM"
"1389","License Issued","11/25/2022 12:26:40 AM"
"1390","Vehicle Purchase","12/22/2021 3:26:40 AM"
"1391","Insurance Activated","7/12/2021 12:26:40 PM"
"1392","Fine Issued","9/22/2016 9:26:40 PM"
"1393","Payment Attempted","4/28/2018 7:26:40 PM"
"1394","Accident Logged","4/15/2024 11:26:40 PM"
"1395","Investigation Opened","2/7/2020 10:26:40 PM"
"1396","Court Hearing","2/26/2019 1:26:40 AM"
"1397","Resolution Closed","11/23/2019 5:26:40 PM"
"1398","Citizen Birth","5/14/2022 12:26:40 PM"
"1399","NIDA Issued","2/9/2023 9:26:40 AM"
"1400","License Issued","11/10/2020 9:26:40 PM"
"1401","Vehicle Purchase","2/19/2020 8:26:40 AM"
"1402","Insurance Activated","4/30/2019 2:26:40 AM"
"1403","Fine Issued","3/25/2026 3:26:40 AM"
"1404","Payment Attempted","3/3/2018 7:26:40 AM"
"1405","Accident Logged","3/18/2024 9:26:40 PM"
"1406","Investigation Opened","7/24/2017 8:26:40 AM"
"1407","Court Hearing","9/29/2018 6:26:40 PM"
"1408","Resolution Closed","2/4/2024 11:26:40 PM"
"1409","Citizen Birth","11/9/2019 11:26:40 PM"
"1410","NIDA Issued","1/17/2024 4:26:40 PM"
"1411","License Issued","11/5/2017 6:26:40 AM"
"1412","Vehicle Purchase","3/24/2026 5:26:40 PM"
"1413","Insurance Activated","4/8/2026 11:26:40 AM"
"1414","Fine Issued","12/29/2024 3:26:40 PM"
"1415","Payment Attempted","12/30/2025 2:26:40 AM"
"1416","Accident Logged","9/28/2020 11:26:40 PM"
"1417","Investigation Opened","10/15/2018 9:26:40 AM"
"1418","Court Hearing","7/25/2020 8:26:40 PM"
"1419","Resolution Closed","2/17/2025 4:26:40 PM"
"1420","Citizen Birth","12/20/2021 6:26:40 PM"
"1421","NIDA Issued","7/1/2019 4:26:40 AM"
"1422","License Issued","10/9/2024 5:26:40 AM"
"1423","Vehicle Purchase","1/23/2021 3:26:40 PM"
"1424","Insurance Activated","4/11/2021 8:26:40 AM"
"1425","Fine Issued","6/6/2022 8:26:40 AM"
"1426","Payment Attempted","6/26/2024 10:26:40 AM"
"1427","Accident Logged","5/29/2019 11:26:40 AM"
"1428","Investigation Opened","4/23/2020 8:26:40 PM"
"1429","Court Hearing","11/5/2016 6:26:40 AM"
"1430","Resolution Closed","12/10/2023 6:26:40 AM"
"1431","Citizen Birth","10/1/2025 6:26:40 AM"
"1432","NIDA Issued","8/4/2016 10:26:40 AM"
"1433","License Issued","7/17/2017 9:26:40 PM"
"1434","Vehicle Purchase","4/11/2024 1:26:40 PM"
"1435","Insurance Activated","4/11/2026 3:26:40 PM"
"1436","Fine Issued","12/4/2023 9:26:40 AM"
"1437","Payment Attempted","2/25/2017 5:26:40 PM"
"1438","Accident Logged","10/11/2016 4:26:40 PM"
"1439","Investigation Opened","4/3/2017 12:26:40 PM"
"1440","Court Hearing","8/21/2025 2:26:40 AM"
"1441","Resolution Closed","9/23/2022 6:26:40 AM"
"1442","Citizen Birth","6/28/2023 8:26:40 AM"
"1443","NIDA Issued","10/6/2025 5:26:40 PM"
"1444","License Issued","8/28/2019 11:26:40 AM"
"1445","Vehicle Purchase","2/16/2023 7:26:40 AM"
"1446","Insurance Activated","3/26/2021 7:26:40 AM"
"1447","Fine Issued","3/10/2022 12:26:40 AM"
"1448","Payment Attempted","6/9/2021 7:26:40 PM"
"1449","Accident Logged","9/24/2024 3:26:40 AM"
"1450","Investigation Opened","11/25/2023 7:26:40 AM"
"1451","Court Hearing","6/3/2021 3:26:40 PM"
"1452","Resolution Closed","5/19/2026 4:26:40 PM"
"1453","Citizen Birth","1/1/2019 3:26:40 AM"
"1454","NIDA Issued","6/14/2026 7:26:40 AM"
"1455","License Issued","6/7/2017 10:26:40 AM"
"1456","Vehicle Purchase","6/22/2020 6:26:40 AM"
"1457","Insurance Activated","8/8/2016 9:26:40 AM"
"1458","Fine Issued","2/13/2019 9:26:40 AM"
"1459","Payment Attempted","5/19/2018 10:26:40 AM"
"1460","Accident Logged","10/23/2017 2:26:40 AM"
"1461","Investigation Opened","6/16/2018 12:26:40 AM"
"1462","Court Hearing","10/18/2021 9:26:40 AM"
"1463","Resolution Closed","5/29/2024 4:26:40 AM"
"1464","Citizen Birth","2/26/2021 6:26:40 PM"
"1465","NIDA Issued","1/12/2025 11:26:40 PM"
"1466","License Issued","5/28/2021 4:26:40 PM"
"1467","Vehicle Purchase","7/7/2020 8:26:40 AM"
"1468","Insurance Activated","10/6/2018 4:26:40 PM"
"1469","Fine Issued","7/25/2025 5:26:40 PM"
"1470","Payment Attempted","9/10/2023 12:26:40 PM"
"1471","Accident Logged","4/20/2020 5:26:40 PM"
"1472","Investigation Opened","10/7/2016 11:26:40 PM"
"1473","Court Hearing","12/26/2021 10:26:40 PM"
"1474","Resolution Closed","11/28/2025 9:26:40 PM"
"1475","Citizen Birth","8/16/2020 7:26:40 PM"
"1476","NIDA Issued","11/14/2018 3:26:40 AM"
"1477","License Issued","1/3/2023 9:26:40 AM"
"1478","Vehicle Purchase","2/13/2024 4:26:40 AM"
"1479","Insurance Activated","3/3/2024 7:26:40 AM"
"1480","Fine Issued","12/29/2021 7:26:40 PM"
"1481","Payment Attempted","8/10/2019 11:26:40 PM"
"1482","Accident Logged","7/7/2017 8:26:40 PM"
"1483","Investigation Opened","5/19/2022 11:26:40 AM"
"1484","Court Hearing","7/15/2021 10:26:40 AM"
"1485","Resolution Closed","8/11/2024 7:26:40 AM"
"1486","Citizen Birth","11/8/2017 4:26:40 AM"
"1487","NIDA Issued","10/29/2019 8:26:40 AM"
"1488","License Issued","2/7/2020 4:26:40 AM"
"1489","Vehicle Purchase","12/8/2022 7:26:40 AM"
"1490","Insurance Activated","6/14/2021 2:26:40 PM"
"1491","Fine Issued","2/11/2025 7:26:40 AM"
"1492","Payment Attempted","5/26/2026 6:26:40 PM"
"1493","Accident Logged","4/13/2020 2:26:40 AM"
"1494","Investigation Opened","1/16/2023 6:26:40 PM"
"1495","Court Hearing","7/26/2018 6:26:40 PM"
"1496","Resolution Closed","3/16/2022 7:26:40 AM"
"1497","Citizen Birth","9/13/2024 3:26:40 PM"
"1498","NIDA Issued","1/6/2025 3:26:40 AM"
"1499","License Issued","3/20/2019 9:26:40 PM"
"1500","Vehicle Purchase","7/28/2016 7:26:40 PM"
"1501","Insurance Activated","4/7/2017 6:26:40 AM"
"1502","Fine Issued","10/25/2023 8:26:40 PM"
"1503","Payment Attempted","10/16/2019 6:26:40 PM"
"1504","Accident Logged","1/5/2021 1:26:40 AM"
"1505","Investigation Opened","1/6/2023 7:26:40 AM"
"1506","Court Hearing","5/29/2018 4:26:40 AM"
"1507","Resolution Closed","2/8/2021 4:26:40 PM"
"1508","Citizen Birth","6/19/2022 6:26:40 PM"
"1509","NIDA Issued","8/22/2022 1:26:40 AM"
"1510","License Issued","8/15/2017 5:26:40 AM"
"1511","Vehicle Purchase","12/27/2020 11:26:40 AM"
"1512","Insurance Activated","12/18/2024 6:26:40 PM"
"1513","Fine Issued","2/26/2020 1:26:40 PM"
"1514","Payment Attempted","8/4/2016 10:26:40 AM"
"1515","Accident Logged","10/14/2017 10:26:40 PM"
"1516","Investigation Opened","2/17/2022 11:26:40 AM"
"1517","Court Hearing","11/19/2025 10:26:40 AM"
"1518","Resolution Closed","12/22/2017 8:26:40 AM"
"1519","Citizen Birth","7/12/2018 9:26:40 PM"
"1520","NIDA Issued","3/24/2017 8:26:40 AM"
"1521","License Issued","3/8/2019 8:26:40 AM"
"1522","Vehicle Purchase","12/31/2023 3:26:40 PM"
"1523","Insurance Activated","8/21/2018 2:26:40 AM"
"1524","Fine Issued","7/6/2021 8:26:40 PM"
"1525","Payment Attempted","4/5/2023 8:26:40 PM"
"1526","Accident Logged","3/28/2018 10:26:40 PM"
"1527","Investigation Opened","11/11/2020 12:26:40 PM"
"1528","Court Hearing","7/31/2016 8:26:40 AM"
"1529","Resolution Closed","1/11/2017 4:26:40 PM"
"1530","Citizen Birth","9/23/2017 12:26:40 PM"
"1531","NIDA Issued","8/7/2020 6:26:40 PM"
"1532","License Issued","1/15/2022 10:26:40 AM"
"1533","Vehicle Purchase","4/3/2020 11:26:40 AM"
"1534","Insurance Activated","6/8/2025 6:26:40 PM"
"1535","Fine Issued","6/2/2018 12:26:40 AM"
"1536","Payment Attempted","5/9/2018 11:26:40 AM"
"1537","Accident Logged","11/21/2022 12:26:40 PM"
"1538","Investigation Opened","8/18/2022 8:26:40 PM"
"1539","Court Hearing","2/20/2020 10:26:40 PM"
"1540","Resolution Closed","7/23/2018 11:26:40 PM"
"1541","Citizen Birth","5/1/2023 9:26:40 PM"
"1542","NIDA Issued","6/14/2020 12:26:40 AM"
"1543","License Issued","8/9/2020 8:26:40 AM"
"1544","Vehicle Purchase","3/17/2023 4:26:40 AM"
"1545","Insurance Activated","12/5/2016 1:26:40 PM"
"1546","Fine Issued","9/16/2025 6:26:40 AM"
"1547","Payment Attempted","5/31/2020 7:26:40 AM"
"1548","Accident Logged","2/9/2022 6:26:40 AM"
"1549","Investigation Opened","10/18/2020 1:26:40 AM"
"1550","Court Hearing","7/14/2025 11:26:40 AM"
"1551","Resolution Closed","1/19/2025 10:26:40 AM"
"1552","Citizen Birth","7/12/2019 10:26:40 AM"
"1553","NIDA Issued","5/29/2019 10:26:40 AM"
"1554","License Issued","10/26/2025 3:26:40 PM"
"1555","Vehicle Purchase","9/30/2021 9:26:40 PM"
"1556","Insurance Activated","8/6/2022 8:26:40 PM"
"1557","Fine Issued","9/9/2017 8:26:40 PM"
"1558","Payment Attempted","3/25/2021 6:26:40 AM"
"1559","Accident Logged","6/19/2026 6:26:40 AM"
"1560","Investigation Opened","3/9/2023 6:26:40 PM"
"1561","Court Hearing","9/29/2020 11:26:40 AM"
"1562","Resolution Closed","4/18/2020 9:26:40 AM"
"1563","Citizen Birth","8/20/2023 4:26:40 PM"
"1564","NIDA Issued","9/15/2023 2:26:40 AM"
"1565","License Issued","6/3/2022 2:26:40 AM"
"1566","Vehicle Purchase","12/24/2016 1:26:40 AM"
"1567","Insurance Activated","4/2/2023 10:26:40 AM"
"1568","Fine Issued","3/22/2024 11:26:40 PM"
"1569","Payment Attempted","9/28/2018 5:26:40 PM"
"1570","Accident Logged","3/27/2020 5:26:40 PM"
"1571","Investigation Opened","3/19/2017 6:26:40 PM"
"1572","Court Hearing","5/18/2019 9:26:40 PM"
"1573","Resolution Closed","4/1/2022 7:26:40 PM"
"1574","Citizen Birth","3/17/2024 6:26:40 AM"
"1575","NIDA Issued","1/19/2021 1:26:40 AM"
"1576","License Issued","5/30/2025 9:26:40 PM"
"1577","Vehicle Purchase","8/23/2016 9:26:40 PM"
"1578","Insurance Activated","7/22/2023 3:26:40 AM"
"1579","Fine Issued","8/11/2023 3:26:40 PM"
"1580","Payment Attempted","11/25/2019 8:26:40 AM"
"1581","Accident Logged","1/12/2020 2:26:40 PM"
"1582","Investigation Opened","7/15/2023 4:26:40 AM"
"1583","Court Hearing","6/13/2021 7:26:40 AM"
"1584","Resolution Closed","8/6/2024 9:26:40 AM"
"1585","Citizen Birth","11/4/2023 5:26:40 AM"
"1586","NIDA Issued","3/19/2023 12:26:40 AM"
"1587","License Issued","10/12/2021 4:26:40 PM"
"1588","Vehicle Purchase","8/17/2019 10:26:40 AM"
"1589","Insurance Activated","7/20/2024 5:26:40 AM"
"1590","Fine Issued","12/5/2020 3:26:40 PM"
"1591","Payment Attempted","11/10/2021 4:26:40 AM"
"1592","Accident Logged","3/9/2019 7:26:40 AM"
"1593","Investigation Opened","12/12/2024 9:26:40 PM"
"1594","Court Hearing","4/14/2023 12:26:40 PM"
"1595","Resolution Closed","4/26/2020 9:26:40 AM"
"1596","Citizen Birth","6/7/2025 7:26:40 AM"
"1597","NIDA Issued","8/23/2016 6:26:40 PM"
"1598","License Issued","6/14/2026 5:26:40 AM"
"1599","Vehicle Purchase","5/1/2023 8:26:40 PM"
"1600","Insurance Activated","9/5/2016 12:26:40 AM"
"1601","Fine Issued","11/14/2022 2:26:40 AM"
"1602","Payment Attempted","2/15/2018 10:26:40 PM"
"1603","Accident Logged","7/26/2016 2:26:40 PM"
"1604","Investigation Opened","8/14/2016 1:26:40 AM"
"1605","Court Hearing","9/11/2018 12:26:40 AM"
"1606","Resolution Closed","3/11/2026 5:26:40 AM"
"1607","Citizen Birth","1/11/2025 10:26:40 AM"
"1608","NIDA Issued","2/5/2021 9:26:40 PM"
"1609","License Issued","1/10/2026 3:26:40 AM"
"1610","Vehicle Purchase","1/18/2026 8:26:40 AM"
"1611","Insurance Activated","1/3/2019 12:26:40 AM"
"1612","Fine Issued","2/11/2023 2:26:40 AM"
"1613","Payment Attempted","5/15/2026 2:26:40 AM"
"1614","Accident Logged","11/26/2022 12:26:40 PM"
"1615","Investigation Opened","11/13/2019 7:26:40 PM"
"1616","Court Hearing","3/1/2020 4:26:40 PM"
"1617","Resolution Closed","2/12/2025 3:26:40 AM"
"1618","Citizen Birth","11/30/2022 4:26:40 AM"
"1619","NIDA Issued","3/28/2023 1:26:40 AM"
"1620","License Issued","9/10/2025 11:26:40 PM"
"1621","Vehicle Purchase","8/2/2021 8:26:40 AM"
"1622","Insurance Activated","11/11/2025 2:26:40 AM"
"1623","Fine Issued","11/27/2016 10:26:40 AM"
"1624","Payment Attempted","5/13/2017 7:26:40 AM"
"1625","Accident Logged","10/17/2025 8:26:40 PM"
"1626","Investigation Opened","8/4/2025 6:26:40 AM"
"1627","Court Hearing","12/10/2021 9:26:40 AM"
"1628","Resolution Closed","7/29/2020 8:26:40 AM"
"1629","Citizen Birth","4/13/2017 7:26:40 PM"
"1630","NIDA Issued","6/30/2022 3:26:40 PM"
"1631","License Issued","8/1/2022 5:26:40 AM"
"1632","Vehicle Purchase","1/27/2020 3:26:40 AM"
"1633","Insurance Activated","7/7/2019 12:26:40 AM"
"1634","Fine Issued","4/24/2026 10:26:40 AM"
"1635","Payment Attempted","10/27/2020 12:26:40 AM"
"1636","Accident Logged","1/19/2025 3:26:40 PM"
"1637","Investigation Opened","3/11/2025 5:26:40 PM"
"1638","Court Hearing","4/12/2021 3:26:40 PM"
"1639","Resolution Closed","10/20/2023 7:26:40 AM"
"1640","Citizen Birth","6/15/2023 7:26:40 AM"
"1641","NIDA Issued","1/28/2023 1:26:40 AM"
"1642","License Issued","9/16/2018 5:26:40 AM"
"1643","Vehicle Purchase","1/11/2022 8:26:40 PM"
